Activity,SnackTime,Snack
Reading,Evening,Chocolate
Gaming/TV,Evening,Chips
Gaming/TV,Afternoon,Chips
Hanging out,Evening,Chocolate
Hanging out,Evening,Chocolate
Hanging out,Evening,Chips
Gaming/TV,Afternoon,Chips
Gaming/TV,Late night,Chips
Hanging out,Afternoon,Chips
Reading,Afternoon,Chips
Hanging out,Afternoon,Chocolate
Hanging out,Evening,Chips
Hanging out,Late night,Chocolate
Reading,Evening,Chips
Hanging out,Evening,Chocolate
Hanging out,Evening,Chips
Hanging out,Evening,Chips
Reading,Afternoon,Chocolate
Hanging out,Evening,Chips
Gaming/TV,Evening,Chocolate
Reading,Evening,Chocolate
Hanging out,Evening,Chips
Reading,Evening,Chips
Hanging out,Evening,Chocolate
Gaming/TV,Evening,Chocolate
Hanging out,Afternoon,Chocolate
Gaming/TV,Evening,Chocolate
Hanging out,Afternoon,Chocolate
Hanging out,Afternoon,Chips
Hanging out,Afternoon,Chips
Reading,Afternoon,Chips
Hanging out,Late night,Chocolate
Gaming/TV,Evening,Chocolate
Hanging out,Afternoon,Chips
Gaming/TV,Morning,Chocolate
Hanging out,Afternoon,Chocolate
Gaming/TV,Afternoon,Chocolate
Hanging out,Evening,Chips
Gaming/TV,Afternoon,Chips
Sports,Afternoon,Chocolate
Reading,Late night,Chips
Sports,Evening,Chocolate
Hanging out,Afternoon,Chips
Gaming/TV,Evening,Chocolate
Gaming/TV,Afternoon,Chips
Hanging out,Afternoon,Chocolate
Hanging out,Late night,Chips
Gaming/TV,Evening,Chips
Hanging out,Evening,Chips
Hanging out,Evening,Chips
Reading,Evening,Chips
Hanging out,Evening,Chocolate
Sports,Evening,Chips
Sports,Evening,Chocolate
Sports,Evening,Chocolate
Sports,Evening,Chips
Gaming/TV,Evening,Chips
Hanging out,Evening,Chips
Hanging out,Morning,Chocolate
Hanging out,Evening,Chips
Gaming/TV,Evening,Chocolate
Hanging out,Evening,Chips
Hanging out,Evening,Chips
Reading,Evening,Chocolate
Hanging out,Afternoon,Chips
Hanging out,Evening,Chips
Hanging out,Evening,Chocolate
Hanging out,Morning,Chocolate
Sports,Evening,Chips
Sports,Evening,Chips
Hanging out,Evening,Chocolate
Gaming/TV,Evening,Chips
Hanging out,Evening,Chips
Hanging out,Evening,Chips
Sports,Evening,Chips
Sports,Afternoon,Chips
Gaming/TV,Evening,Chips
Hanging out,Evening,Chips
Hanging out,Evening,Chips
Hanging out,Evening,Chips
Sports,Evening,Chips
Gaming/TV,Evening,Chips
Gaming/TV,Evening,Chips
Sports,Evening,Chips
Gaming/TV,Afternoon,Chips
Reading,Late night,Chips
Sports,Evening,Chips
Hanging out,Afternoon,Chips
Hanging out,Afternoon,Chips
Hanging out,Evening,Chocolate
Hanging out,Afternoon,Chips
Hanging out,Afternoon,Chocolate
Sports,Late night,Chips
Hanging out,Evening,Chips
Sports,Evening,Chocolate
Sports,Afternoon,Chocolate
Gaming/TV,Evening,Chips
Reading,Afternoon,Chips
Hanging out,Late night,Chips
Gaming/TV,Evening,Chocolate
Sports,Afternoon,Chocolate
Sports,Evening,Chocolate
Sports,Evening,Chips
Hanging out,Late night,Chips
Hanging out,Evening,Chocolate
Hanging out,Evening,Chips
Hanging out,Afternoon,Chips
Reading,Evening,Chips
Hanging out,Afternoon,Chocolate
Sports,Afternoon,Chocolate
Hanging out,Afternoon,Chocolate
Hanging out,Afternoon,Chocolate
Hanging out,Evening,Chips
Gaming/TV,Evening,Chips
Reading,Evening,Chocolate
Sports,Evening,Chips
Gaming/TV,Afternoon,Chips
Hanging out,Evening,Chocolate
Sports,Afternoon,Chocolate
Hanging out,Afternoon,Chocolate
Sports,Evening,Chips
Hanging out,Evening,Chips
Sports,Evening,Chocolate
Hanging out,Evening,Chocolate
Hanging out,Afternoon,Chips
Hanging out,Afternoon,Chocolate
Hanging out,Afternoon,Chips
Gaming/TV,Late night,Chocolate
Hanging out,Evening,Chips
Gaming/TV,Afternoon,Chips
Hanging out,Afternoon,Chips
Sports,Morning,Chocolate
Reading,Afternoon,Chips
Hanging out,Late night,Chips
Gaming/TV,Evening,Chocolate
Hanging out,Late night,Chips
Sports,Evening,Chips
Hanging out,Evening,Chips
Reading,Afternoon,Chips
Gaming/TV,Evening,Chocolate
Hanging out,Afternoon,Chips
Gaming/TV,Evening,Chips
Hanging out,Evening,Chips
Hanging out,Afternoon,Chips
Hanging out,Late night,Chips
Hanging out,Evening,Chips
Hanging out,Afternoon,Chips
Hanging out,Evening,Chocolate
Hanging out,Afternoon,Chocolate
Hanging out,Evening,Chips
Sports,Evening,Chips
Hanging out,Evening,Chips
Sports,Afternoon,Chips
Sports,Afternoon,Chocolate
Hanging out,Afternoon,Chocolate
